Company,Title,Responsibilities,Requirements,Seniority,Employment_Type,Category,Address
,,,,,,,Undisclosed
,Data Scientist,"Roles & ResponsibilitiesOpsis is a Spin-off from A*STAR that specialise in facial / Voice expression analysis and emotion recognition. Using advanced image processing and computer vision algorithms, we analyze multimodal expressions and read emotions with high precision in real time from face, voice and body langauge. We are currently working with a number of blue-chip companies as partners and customers and are adapting our solution to various industry verticals.

Applications of Opsis' technology are manifold, ranging from audience measurement, targeted advertising, and customer satisfaction to training and education, human resources, security, or healthcare. We are expanding and invite like minded to journey with us.

Job Description
We are looking for data scientists who are familiar with at least some of the following: 
- Proficient in statistics, machine learning, Python, databases 
- Familiar with traditional and new data analysis methods, statistical modeling techniques,  pattern discovery - Excellent visualization and presentation skills 
- Produce domain-specific insights from raw data 
- Document analysis techniques and insights in white papers and slides 
- Some knowledge of C++ and/or computer vision would be a plus

Working side-by-side with the founders, you will help optimize and support the existing code base; design, implement, and test new features; port the code to other platforms, etc.

Singaporean/PR only.",,Professional,Permanent,"Consulting, Education and Training, Engineering, Information Technology, Sciences / Laboratory / R&D",Islandwide
,Senior Data Scientist,"Roles & ResponsibilitiesQualification

Master's degree in related disciplines (e.g. Statistics, Computer Science, Information Science, Mathematics, Physics and Operations Research)
2 years relevant experience working with statistical software (e.g. R, S-PLUS, SAS or similar), databases and scripting languages (e.g. Python).

Preferred Qualifications

Masters or PhD in Statistics or related disciplines.
3 years of relevant work experience.

Experience

Substantial real-world experience, especially in areas like big data, and machine learning.
Ability to draw conclusions from data and recommend actions.
Demonstrated willingness to both guide others and learn new techniques.
Demonstrated leadership and self-direction.
",,Senior Executive,Permanent,Information Technology,90 EU TONG SEN STREET 059811
,Data Platform Specialist,"Roles & ResponsibilitiesResponsibilities

Translate business needs to technical specifications.
Analyze business requirements, understand underlying data sources, transformation requirements, data mapping, data modelling and metadata for reporting solutions.
Design EDW data layer with appropriate enterprise considerations like scalability, performance, security, maintainability, automation etc.
Build infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources, applications and platforms.
Incrementally build IB’s enterprise data warehouse.
Evaluate and improve existing BI systems.
Write code, conduct unit testing, documentation and troubleshooting.
Create visualizations and reports for various business units.
Participate in technical sharing and peer review sessions with team members.

Requirements

BSc/BA in Computer Science, Engineering or relevant field.
Building the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources, applications and platforms.
Able to integrate multiple data sources & user-end applications with databases into one system. (to store the data and its retrieval from the databases)
Solid experience in designing and implementing robust data pipelines and ETL framework.
Proven experience as a data warehouse architect & developer, including full implementation of data warehousing solution.
Good understanding of enterprise design concepts: re-usability, continuous integration, security, scheduling, monitoring, etc.
In-depth understanding of database management systems, online analytical processing (OLAP), SQL queries (Azure SQL DB).
Expertise with Azure Resource Management and templates is an added advantage.
Exposure to cloud technologies (MS Azure, AWS) & desire to learn and deliver new things on a needs-basis (big data, BI, data science, etc.).
Strong expertise in data warehouse design methodologies and technologies, data modelling(data vault experience is preferable), data quality and metadata.
Effective oral, written communication and presentation skills.
Strong interpersonal skills. Self-motivated with a keen attention to detail.
",,Professional,Permanent,"Education and Training, Information Technology, Others","ROBINSON 77, 77 ROBINSON ROAD 068896"
,Chief Business Officer,"Roles & ResponsibilitiesAbout Us
GeekLurn Asia is an employability-focused EdTech that finds, selects, and nurtures the best young
data scientist. We aim to bridge the demand-supply gap of industry-ready candidates with relevant
skill sets in the Data Science / AI Industry. Since its inception, GeekLurn has constantly endeavoured
to stay at the forefront of meeting the industry’s needs with exceptional talent. Our curriculum is
ever-evolving to cater to all our corporate clients; diverse needs and produce all-rounded talent that is imbibed in our institute’s culture. Over the last few years, we have partnered with the best brands
including DASCA, NASSCOM and IBM, to help deliver on our mission.

The Opportunity
In your role as you will be reporting to the Founder and Managing Director.
Your responsibility is to discover market opportunities, develop new courses to address these
opportunities, bring them to market, drive enrolments, ensure learning outcomes for learners. 
We have specialized teams for course development, course marketing, course enrolments, course
delivery and alumni management.
You will be seen to be succeeding in your role if you discover large market opportunities and then
build and offer courses for this opportunity. We expect enrolments to scale rapidly and high learning
impact.
We currently want to expand our course footprint in the segment of the online and blended courses.
And we are looking to go deeper into emerging markets with these courses. These would be your
first few responsibilities.

Your Role:
Discover global/local market opportunity for courses: Through understanding trends in the
learning market, understanding the offerings of our existing partners, discovering new University partners who we can partner for courses

Building new courses/upgrading existing courses with price, markets, value-proposition, differentiators

Collaborate with University Relations, Learning Design and other relevant stakeholders
during product development phase

Driving enrolments for these courses by working closely with marketing and sales teams

Driving enhancing learner outcome projects – job connects, networking opportunities,
continued learning

Managing the P&L for the courses/product line

Handling and driving product managers for growth

Your Skills and Qualification:

Edutech Product Re/Launches: Experience of products launched and their market
fit/revenues

Scaling: Experience of scaling a product by identifying under-served market opportunities

Sales &amp; Marketing: Experience of driving sales &amp; marketing for products with revenue goals

Experience in Innovation/Collaborative initiatives: Examples of having driven innovative
projects to success by working with diverse teams

Have experience in setting up Edutech bodies in large scale with cross border onsite and off
site experience

Desired Skills and Experience

Master’s degree in business with globally accredited business schools, human resources or a
related field strongly preferred with 15+ years of Experience

5+ years of Strong Experience in Data Analytics / Machine Learning / Artificial Intelligence /
Business careers required.

Excellent verbal, writing, and impactful presentation skills required.

Ability to handle confidential information with tact and good judgment required.

Significant knowledge of the Asian marketplace, on-line resources, spreadsheet, and
presentation software required.

Ability to work on tight deadlines and flexible to work on global time zones, evenings and
weekends as required.

Openness to travel across globe, as required / International travel exposure is preferred.


GeekLurn provides equal employment opportunities to all employees and applicants for
employment and prohibits discrimination and harassment of any type without regard to race, color,
religion, age, sex, national origin, disability status, genetics, protected veteran status, sexual
orientation, gender identity or expression, or any other characteristic protected by federal or state
laws.",,Senior Management,Permanent,"General Management, Information Technology, Others","HIGH STREET PLAZA, 77 HIGH STREET 179433"
,"Senior Data Scientist, Smart Mfg & Ai","Roles & ResponsibilitiesOur vision is to transform how the world uses information to enrich life. Join an inclusive team passionate about one thing: using their expertise in the relentless pursuit of innovation for customers and partners. The solutions we build help make everything from virtual reality experiences to breakthroughs in neural networks possible. We do it all while committing to integrity, sustainability, and giving back to our communities. Because doing so can fuel the very innovation we are pursuing.
As a Data scientist at Micron Technology, Inc., you will report to the Smart Manufacturing and Artificial Intelligence organization. The team defines, drives and delivers end to end smart manufacturing solution, integrated across functions of the business. The team will look into applying industry-leading the best methodologies in automation, AI and machine learning to enhance Micron’s product development, business and administrative processes across the company.
Responsibilities and Tasks
SMART MFG Data Scientist
Work with an international team of data scientists, data engineers, software engineers, process and equipment engineers, process integration engineers, yield enhancement engineers, R&D, etc. in a collaborative manner to develop new data science solutions that improve quality, improve yield, reduce deviations, improve manufacturing cycle time, reduce cost, extend manufacturing capabilities, etc.

Draw from a broad background of data-mining techniques in mathematics, statistics, information technology, machine learning, data engineering, visualization, etc. to discover insightful patterns in the dataset
Work on projects and develop solutions that would be of high impact in various areas such as Fabrication plant, Assembly and Test and Procurement etc
Work closely with IT and Supplier on data management, taking an idea, access and prepare necessary data, work with data scientists to create machine learning models, develop it to an application with intuitive user interface, integrate with any pre-existing systems, demonstrate successful use cases and wins, etc.
Developing new or enhancing prior data acquisition and ETL pipelines from various sources into big data ecosystem.
Developing responsive design web interface for result visualization and user interaction
Working with various scientific data such as equipment sensor data and logs, image and various types of signals, manufacturing process data, etc. to extract meaningful information for analytics
Creating intuitive user interface for interactive data visualization to explain insights from data

Requirements :

B.S/M.S degree in Science, Computer Science, Industrial Engineering or any other engineering discipline with extensive programming exposure
Good hands on programming experience (eg Java, C++, python, etc)
Strong communication skills (written, verbal and presentation)
Willing to travel and enjoy working in diverse environment
Any exposure to below will be advantageous
Scala, Python in Hadoop ecosystem (Spark, Hive, HBase, etc.)
ETL, Database (MS SQL, Oracle, MySQL, Snowflake, etc.)
Image processing (OpenCV, Python PIL, scikit-image, etc.)
Web Development (Angular, typescript, css, Node.js, etc)
Mobile app development (Ionic framework, apache cordova, etc)
",,Junior Executive,Permanent,Engineering,"F10W Woodlands, Singapore 	 738799"
,Data Scientist - Smart Mfg & Ai,"Roles & ResponsibilitiesAs a Data Science Engineer at Micron, you will employ techniques and theories drawn from areas of mathematics, statistics, semiconductor physics, materials science, and information technology to uncover patterns in data from which predictive models, actionable insights, and solutions can be developed.
You will interact with experienced Data Scientists, Data Engineers, Business Areas Engineers, and UX teams to identify questions and issues for data analysis projects and improvement of existing tools. In this position, you will help develop software programs, algorithms and/or automated processes to cleanse, integrate, and evaluate large datasets from multiple disparate sources. There will be significant opportunities to perform exploratory and new solution development activities.
Responsibilities include, but not limited to:

Strong desire to grow a career as a Data Scientist in highly automated industrial manufacturing doing analysis and machine learning on terabytes and petabytes of diverse datasets.
Experience in the areas: statistical modeling, feature extraction and analysis, supervised/unsupervised/semi-supervised learning. Exposure to the semiconductor industry is a plus but not a requirement.
Ability to extract data from different databases via SQL and other query languages and applying data cleansing, outlier identification, and missing data techniques.
Strong software development skills.
Strong verbal and written communication skills.
Experience with or desire to learn:
Machine learning and other advanced analytical methods
Fluency in Python and/or R
pySpark and/or SparkR and/or SparklyR
Hadoop (Hive, Spark, HBase)
Teradata and/or another SQL databases
Tensorflow, and/or other statistical software including scripting capability for automating analyses
SSIS, ETL
Javascript, AngularJS 2.0, Tableau
Experience working with time-series data, images, semi-supervised learning, and data with frequently changing distributions is a plus
Experience working with Manufacturing Execution Systems (MES) is a plus
Existing papers from CVPR, NIPS, ICML, KDD, and other key conferences are plus, but this is not a research position

Designs, develops and programs methods, processes, and systems to consolidate and analyze unstructured, diverse “big data” sources to generate actionable insights and solutions for client services and product enhancement. Interacts with product and service teams to identify questions and issues for data analysis and experiments. Develops and codes software programs, algorithms and automated processes to cleanse, integrate and evaluate large datasets from multiple disparate sources. Identifies meaningful insights from large data and metadata sources; interprets and communicates insights and findings from analysis and experiments to product, service, and business managers.",,Entry Level,Permanent,Engineering,1 NORTH COAST DRIVE 757432
,Data Scientist - Smart Mfg & Ai,"Roles & ResponsibilitiesJob Description
As a Data Science Engineer at Micron, you will employ techniques and theories drawn from areas of mathematics, statistics, semiconductor physics, materials science, and information technology to uncover patterns in data from which predictive models, actionable insights, and solutions can be developed.
You will interact with experienced Data Scientists, Data Engineers, Business Areas Engineers, and UX teams to identify questions and issues for data analysis projects and improvement of existing tools. In this position, you will help develop software programs, algorithms and/or automated processes to cleanse, integrate, and evaluate large datasets from multiple disparate sources. There will be significant opportunities to perform exploratory and new solution development activities.
Responsibilities include, but not limited to:

Strong desire to grow a career as a Data Scientist in highly automated industrial manufacturing doing analysis and machine learning on terabytes and petabytes of diverse datasets.
Experience in the areas: statistical modeling, feature extraction and analysis, supervised/unsupervised/semi-supervised learning. Exposure to the semiconductor industry is a plus but not a requirement.
Ability to extract data from different databases via SQL and other query languages and applying data cleansing, outlier identification, and missing data techniques.
Strong software development skills.
Strong verbal and written communication skills.
Experience with or desire to learn:
Machine learning and other advanced analytical methods
Fluency in Python and/or R
pySpark and/or SparkR and/or SparklyR
Hadoop (Hive, Spark, HBase)
Teradata and/or another SQL databases
Tensorflow, and/or other statistical software including scripting capability for automating analyses
SSIS, ETL
Javascript, AngularJS 2.0, Tableau
Experience working with time-series data, images, semi-supervised learning, and data with frequently changing distributions is a plus
Experience working with Manufacturing Execution Systems (MES) is a plus
Existing papers from CVPR, NIPS, ICML, KDD, and other key conferences are plus, but this is not a research position
",,Entry Level,Permanent,Engineering,1 NORTH COAST DRIVE 757432
,Data Scientist - Smart Mfg & Ai,"Roles & Responsibilities
Strong desire to grow a career as a Data Scientist in highly automated industrial manufacturing doing analysis and machine learning on terabytes and petabytes of diverse datasets.
Experience in the areas: statistical modeling, feature extraction and analysis, supervised/unsupervised/semi-supervised learning. Exposure to the semiconductor industry is a plus but not a requirement.
Ability to extract data from different databases via SQL and other query languages and applying data cleansing, outlier identification, and missing data techniques.
Strong software development skills.
Strong verbal and written communication skills.
Experience with or desire to learn:
Machine learning and other advanced analytical methods
Fluency in Python and/or R
pySpark and/or SparkR and/or SparklyR
Hadoop (Hive, Spark, HBase)
Teradata and/or another SQL databases
Tensorflow, and/or other statistical software including scripting capability for automating analyses
SSIS, ETL
Javascript, AngularJS 2.0, Tableau
Experience working with time-series data, images, semi-supervised learning, and data with frequently changing distributions is a plus
Experience working with Manufacturing Execution Systems (MES) is a plus
Existing papers from CVPR, NIPS, ICML, KDD, and other key conferences are plus, but this is not a research position
",,Entry Level,Permanent,Engineering,1 NORTH COAST DRIVE 757432
,Data Scientist,"Roles & Responsibilities- Data analysis for semiconductor manufacturing system in terms of Industrial Engineering(IE)
. Sensitivity analysis, Statistical correlation analysis for features, Data pre-processing for Machine Learning(ML)
- Simulation based Optimization (Agent development)
. Develop Agent that interact with simulator and searches optimal adaptively by adopting Reinforcement Learning(RL) technique
Requirement
- Ph. D or Master degree candidates are preferred
. Wide understanding for *RL/Supervised/Unsupervised
- Multiple project experiences for handling real-world issue and data
. Semiconductor manufacturing system domain will be preferred
- IE background will be preferred
- Strong skill in ML programming, hyper-parameter tuning for learning convergence
. Python and API, good sense of OOP(Object Oriented Programming)
- Tendency for constant learning not only the inherent area but also new technology/academic area
- Active cooperation and discussion for problem solving",,Entry Level,Permanent,Engineering,1 NORTH COAST DRIVE 757432
,Senior Data Science Engineer,"Roles & Responsibilities
Strong desire to grow a career as a Data Scientist in highly automated industrial manufacturing doing analysis and machine learning on business datasets.
Experience in the areas: statistical modeling, feature extraction and analysis, supervised/unsupervised/semi-supervised learning. Exposure to the semiconductor industry is a plus but not a requirement.
Ability to extract data from different databases via SQL and other query languages and applying data cleansing, outlier identification, and missing data techniques.
Strong software development skills.
Strong verbal and written communication skills.
Experience with or desire to learn:
Machine learning and other advanced analytical methods
Fluency in Python and/or R
Experience working with Google cloud or Snowflake.
Tableau, Power BI
Experience working with time-series data, semi-supervised learning, and data with frequently changing distributions is a plus
Domain knowledge in Supply chain or Procurement or Sales or Pricing function is a must.
Experience building end to end software applications is a plus.
",,Entry Level,Permanent,Engineering,1 NORTH COAST DRIVE 757432
,"Sr /  I4.0 Analyst, Smart Mfg & Ai","Roles & ResponsibilitiesAs an Industry 4.0 (I4.0) Analyst at Micron Technology, Inc., you will report to the Smart Manufacturing and Artificial Intelligence organization. The team defines, drives and delivers end to end smart manufacturing solution, integrated across functions of the business. The team will apply industry-leading best methodologies in automation, AI and machine learning to enhance Micron’s product development, business and administrative processes across the company.
Responsibilities and Tasks
You will work with a team of Data Scientist and Data Engineers, making an important contribution to the design, analysis, and implementation of data science solutions and business improvement ideas. You will also work closely with key stakeholders to ensure positive impact and sustainable results. In this role you will have the following responsibilities:

Collaborate with Data Engineers & Data Scientists to deliver I4.0 projects that require the coordination and support of resources from global teams
Work closely with procurement category teams to implement I4.0 use cases – identify opportunities and support delivery of financial/operational impact in collaboration with category and program management teams
Work with I4.0 solution end-users to define requirements, diagnose, design, and analyze information related to the adoption of I4.0 solutions
Quantify, track, and monitor financial/operational impact of I4.0 solutions to the business
Identify new I4.0 use-cases and best practices across strategic and operational procurement processes
Develop business case, including impact validation approach, ROI of potential solutions and prioritize & propose projects for implementation
Implement best-in-class external procurement solutions working closely together with startups and established technology providers
Ability to think critically and break down complex data/processes to identify key levers and applicable solutions

Qualifications

At least 3-5 years of work experience in Procurement or similar operations functions
Familiar with procurement processes, systems and solutions preferably in the semiconductor industry
Excellent interpersonal skills with demonstrable ability to effectively lead and present to small and large groups
Proven ability to work multi-functionally with peers, senior and mid-level management
Peer leadership and relationship management skills
Strong analytical and problem-solving skills
Highly organized and ability to remain flexible to the changing business needs
Good to have: SQL queries, database, Tableau dashboarding experience
",,Non-executive,Permanent,Engineering,1 NORTH COAST DRIVE 757432
,Smai Global Operations Intelligence Engineer,"Roles & Responsibilities
Strong desire to grow a career as a Data Scientist in highly automated industrial manufacturing doing analysis and machine learning on terabytes and petabytes of diverse datasets.
Experience in the areas: statistical modeling, feature extraction and analysis, supervised/unsupervised/semi-supervised learning. Exposure to the semiconductor industry is a plus but not a requirement.
Ability to extract data from different databases via SQL and other query languages and applying data cleansing, outlier identification, and missing data techniques.
Strong software development skills.
Strong verbal and written communication skills.
Experience with or desire to learn:
Machine learning and other advanced analytical methods
Fluency in Python and/or R
pySpark and/or SparkR and/or SparklyR
Hadoop (Hive, Spark, HBase)
Teradata and/or another SQL databases
Tensorflow, and/or other statistical software including scripting capability for automating analyses
SSIS, ETL
Javascript, AngularJS 2.0, Tableau
Experience working with time-series data, images, semi-supervised learning, and data with frequently changing distributions is a plus
Experience working with Manufacturing Execution Systems (MES) is a plus
Existing papers from CVPR, NIPS, ICML, KDD, and other key conferences are plus, but this is not a research position
",,Entry Level,Permanent,Engineering,1 NORTH COAST DRIVE 757432
,Smai Global Operations Intelligence Engineer,"Roles & Responsibilities
Strong desire to grow a career as a Data Scientist in highly automated industrial manufacturing doing analysis and machine learning on terabytes and petabytes of diverse datasets.
Experience in the areas: statistical modeling, feature extraction and analysis, supervised/unsupervised/semi-supervised learning. Exposure to the semiconductor industry is a plus but not a requirement.
Ability to extract data from different databases via SQL and other query languages and applying data cleansing, outlier identification, and missing data techniques.
Strong software development skills.
Strong verbal and written communication skills.
Experience with or desire to learn:
Machine learning and other advanced analytical methods
Fluency in Python and/or R
pySpark and/or SparkR and/or SparklyR
Hadoop (Hive, Spark, HBase)
Teradata and/or another SQL databases
Tensorflow, and/or other statistical software including scripting capability for automating analyses
SSIS, ETL
Javascript, AngularJS 2.0, Tableau
Experience working with time-series data, images, semi-supervised learning, and data with frequently changing distributions is a plus
Experience working with Manufacturing Execution Systems (MES) is a plus
Existing papers from CVPR, NIPS, ICML, KDD, and other key conferences are plus, but this is not a research position
",,Entry Level,Permanent,Engineering,1 NORTH COAST DRIVE 757432
,Data Scientist - Data Science And Engineering   ,"Roles & ResponsibilitiesIN BRIEF
Provide data processing, mining, analysis, and modelling in medical domain to support Project deliveries and develop EVYD Core Technology
KEY RESPONSIBILITIES

Perform data pre-processing, feature engineering, and build data science models to address the medical related use case
Communicate with internal and external clients to understand business use cases and translate the business problems to relevant data science models and provide analytical solutions
Work closely with Data Engineers /Medical Data Specialists to ensure the data science functions were delivered as a full solution with high quality
Communicate results to technical and non-technical audience
Research, experiment, implement & document the State-of-Art algorithms in medical domains (e.g : NLP, Operational Research, Recommendation Systems, Chatbot, Reinforcement Learning…etc)

REQUIREMENTS:

Bachelor’s degree or above in Computer Science, Mathematics, Data Science, Statistics, Health Informatics, or related fields
2+ years of prior experience as a Data Scientist or in similar roles (number depends on the seniority)
Highly proficient in programming languages such as Python and machine learning tools like Jupyter Notebook, TensorFlow, PyTorch etc
In-depth knowledge of statistics, machine learning, and deep learning techniques
Good analytical and problem-solving skills
Faster learner, results driven, able to function independently with minimal supervision
Flexible in adapting in a dynamic environment
Strong sense of ownership and accountability, with good attention to detail
Excellent verbal and written communication skills 
Experience in handling end-to-end machine learning projects in live production environment will be a plus
Experience in healthcare company in domains like NLP/Forecasting/Optimization/Recommendation system will be a plus
Experience in the use of one or more current analytical / big data technologies such as Azure, AWS will be a plus
Excitement about the vision and mission of EVYD
",,Professional,Permanent,"Healthcare / Pharmaceutical, Information Technology, Medical / Therapy Services, Sciences / Laboratory / R&D",55 TRAS STREET 078994
,"Data Scientist (Supply Chain, Bi & Analyst)","Roles & ResponsibilitiesWe are seeking the potential to be part of our Global Supply Chain (GSC) team. The role entails high-frequency engagements with working-level team members, therefore, offers an excellent opportunity for candidates to gain knowledge and perspective of business at multiple levels.

As a Data Scientist, you will be developing and implementing advanced analytics models and solutions to yield predictive and prescriptive insights from large volumes of structured and unstructured data.

The potential would also be working directly with senior executives and potentially mentor your team to contribute to GSC’s success and build your technical and leadership skills.

Job Roles & Responsibilities:

Require to review, analyze and interpret business data and information needs for the end to end processes
Analyze complex problems, interpret operational needs, and develop creative & innovative solutions involving data model design/ reporting assembly/ application structure.
Perform data analysis and present analysis findings for improvement opportunities
Propose optimal solutions for gaps identified by examining and re-engineering operations and procedures,      formulate policy, develop and implement new strategies and procedures.
Lead and manage data solutions projects with cross-functional teams.
Collaborate with stakeholders to understand business needs and define the roadmap, producing a return on investment analysis, budgets for project execution, and deployment plans.
Produce quality presentations to senior management, recommend action plan insights from analysis

Requirements:

Bachelor's or Master's Degree or University Degree or equivalent
7 - 8  years of work experience with BI dashboard visualization software tools and Tableau. 
Can lead, work independently as well as play a key role in a team
Possess knowledge of data modelling or database design such as table relationships, simple query and reporting skills.
Possess      a selection of skills and experience with analytical tools and languages such as Python, SQL, and other programming languages
Proficiency in MS OFFICE tools such as Word, Excel, PowerPoint, and SAP
Familiarity with operation research concepts and statistical inference techniques.
Understand key financial measures and metrics that have a direct influence
Able to work independently to source, verify, collate, prepare and analyze datasets from across the organization
Proficiency in verbal, written communication, able to articulate the key findings of the data/information and summarize into presentation form
",,Senior Executive,Permanent,"Logistics / Supply Chain, Manufacturing",1 Yishun Ave 1 768923
,Senior Data Scientist ,"Roles & ResponsibilitiesResponsibilities:

Research on user behavior/preferences based on massive user data, and construct a user profile label system, such as demographic attribute labels, consumer labels, interest preference labels, and ID-mapping data
Improve and optimize the user portrait labeling system through machine learning/deep learning technology to increase label coverage
User life cycle management and optimization. Construct a user growth model to optimize the user life cycle. Such as new customer mining, conversion prediction, churn warning, etc.
Based on massive user data, it can provide strategic support for marketing orientation and improve the conversion rate of marketing activities
Link products and operations, analyze business data, provide reliable big data analysis and modeling solutions, and improve the product experience and business indicators
It can provide accurate feature engineering support for models such as CTR/CVR/LTV of the recommended algorithm to improve the model effect

Requirements:

Bachelor degree or above in computer or related majors, with a solid foundation in mathematics, statistics, and computer
Familiar with user portrait (DMP) system construction, able to achieve accurate crowd orientation through user portrait modeling and other technologies
Master commonly used models such as machine learning/deep learning, be able to extract high-level portrait labels through algorithms and be able to predict and fill missing labels to improve user portrait label coverage
Proficiency in using at least one deep learning framework, such as TensorFlow, PyTorch, Caffe, etc.; proficient in at least one programming language, including but not limited to python/java/scala/go
Experience in recalling, rough sorting, and fine sorting in the recommendation/advertising field is preferred and can improve the model effect by digging into feature engineering
In-depth understanding of timing models, graph convolution models, NLP, CV, and other technologies is preferred
Experience in big data frameworks is preferred, such as Hive, Spark, Flink, etc.

Benefits

Up to 20 days Annual Leave
Festive Gifts
Flexible Working Hours
Overtime Meal and Transport Benefits
Employee Growth Funding
Group Insurance
Regular Employee Bonding Events
Attractive Annual Variable Bonus AND Quarterly Performance Incentives

Culture

We foster our core values through active listening, caring, and supporting continuous improvement for all our staff members
Experience the energetic working environment with multicultural staff members with varied skills and experiences
",,Executive,Permanent,Information Technology,Islandwide
,Senior Data Scientist,"Roles & ResponsibilitiesResponsibilities:

Research on user behavior/preferences based on massive user data, and construct a user profile label system, such as demographic attribute labels, consumer labels, interest preference labels, and ID-mapping data
Improve and optimize the user portrait labeling system through machine learning/deep learning technology to increase label coverage
User life cycle management and optimization. Construct a user growth model to optimize the user life cycle. Such as new customer mining, conversion prediction, churn warning, etc.
Based on massive user data, it can provide strategic support for marketing orientation and improve the conversion rate of marketing activities
Link products and operations, analyze business data, provide reliable big data analysis and modeling solutions, and improve the product experience and business indicators
It can provide accurate feature engineering support for models such as CTR/CVR/LTV of the recommended algorithm to improve the model effect

Requirements:

Bachelor degree or above in computer or related majors, with a solid foundation in mathematics, statistics, and computer
Familiar with user portrait (DMP) system construction, able to achieve accurate crowd orientation through user portrait modeling and other technologies
Master commonly used models such as machine learning/deep learning, be able to extract high-level portrait labels through algorithms and be able to predict and fill missing labels to improve user portrait label coverage
Proficiency in using at least one deep learning framework, such as TensorFlow, PyTorch, Caffe, etc.; proficient in at least one programming language, including but not limited to python/java/scala/go
Experience in recalling, rough sorting, and fine sorting in the recommendation/advertising field is preferred and can improve the model effect by digging into feature engineering
In-depth understanding of timing models, graph convolution models, NLP, CV, and other technologies is preferred
Experience in big data frameworks is preferred, such as Hive, Spark, Flink, etc.

Benefits

Up to 20 days Annual Leave
Festive Gifts
Flexible Working Hours
Overtime Meal and Transport Benefits
Employee Growth Funding
Group Insurance
Regular Employee Bonding Events
Attractive Annual Variable Bonus AND Quarterly Performance Incentives

Culture

We foster our core values through active listening, caring, and supporting continuous improvement for all our staff members
Experience the energetic working environment with multicultural staff members with varied skills and experiences
",,Executive,Permanent,Information Technology,Islandwide
,Data Scientist Analytics Team Lead,"Roles & Responsibilities(Only shortlisted candidates will be invited for interview)

Responsibilities:
• Lead, motivate, coach, and manage work responsibilities for a team of  Business Analysts and Data Science Professionals.
• Meet with system owners, end users and decision makers to define business and operations requirements and system goals, as well as to identify and resolve system issues.
• Understand, analyze, and build up models for existing business processes.
• Identify data to be captured for the SCM Business Platform & its value, and make solution on how to capture the data into the SCM Business Platform
• Design and execute data analytics experiment and translate results into business implications and insights.
• Innovate, design, develop and improve existing models, through experimentation and adoption of machine learning ops best practices.
• Organize and ensure alignment of work-streams with long-term goals and business objectives.
• Lead design sessions in prototyping new systems for the purpose of enhancing business processes, operations, and information process flow.
• Create system models, specifications, diagrams, and charts to provide direction.
• Coordinate and perform in-depth testing, including end-user reviews, for modified and new date models and algorithms.

Requirements:
• Degree in Computer Science, Business IT, SCM or other equivalent. Post-grad qualifications and good Kaggle competition scores preferred.
• Prior success in deploying predictive models based on Decision Tree Boosting, NLP and Sentiment Analysis.
• Proven Expertise in AI Chatbot expertise and AI automated data analytics highly preferred.
• Self-motivated and ability to effectively prioritize and execute tasks within required milestone timelines.
• Excellent written and oral communication, presentation, listening and interpersonal skills.
• Good analytical, mathematical, and creative problem-solving skills.
• 3-5 years’ experience in overseeing the design, development, and implementation of software/hardware solutions, systems.
• Strong team player with solid communication skills; able to converse with stakeholders and team members across various business functions, ideally with SCM focus.
• Able to explain sophisticated data science concepts in an understandable manner.",,Professional,Permanent,Information Technology,"PARKVIEW SQUARE, 600 NORTH BRIDGE ROAD 188778"
,Artificial Intelligence And Machine Learning Engineer,"Roles & ResponsibilitiesThe rising need for smarter and more complicated functionality across a wide range of verticals will essentially boost the demand for artificial intelligence (AI)-enabled devices and systems. This list includes industrial automation, machine learning, health care, smart manufacturing, mobile devices, the Internet of Things, smart clouds, high performance computing, autonomous vehicles, and information security.
The adoption of AI can only be stronger in the future and this structural shift should ignite a multi-decade development cycle. As such, the world should brace for an unprecedented rise in AI processors and AI-embedded devices from now on. At the current rate of advancement, AI will emerge in countless tools and increasingly play irreplaceable roles in administering our daily lives.

Job Highlights

Team Lead data scientist
Machine Learning
Data Model, Data Mining

Job Description
Duties and Responsibilities

Develop an end-to-end machine learning system for use in strategic planning for banking services and business expansion.
Continuously develop and improve Scalability / Speed ​​/ Performance of Machine Learning systems.
Initiate innovative projects, Data Analytics & Machine Learning systems, and seek innovative Analytics tools to meet changing business needs.
Manage the responsible Data Scientist team.

feature

Graduated with a master's degree or higher in the field computer engineering or related fields
5+ years of experience working in Machine Learning/Data Science
Expertise in Machine Learning, Data Model, Database Design and Data Mining .
Knowledge of using R, Python, and related machine learning programs.
Experience using Cloud platforms such as AWS, Azure, Google Cloud, etc.
Experience in managing a Data Scientist team
",,Professional,Permanent,Information Technology,Islandwide
